Región,CIE-10,Causa de Muerte,Sexo, < 1  , 1 a 4  , 5 a 9  , 10 a 19  , 20 a 44  , 45 a 64  , 65 a 79  , 80 y Más  
De Coquimbo, K00-K93, Enfermedades del sistema digestivo,Mujer,0,0,0,0,9,13,40,40
De Coquimbo, N00-N99, Enfermedades del sistema genitourinario,Hombre,0,0,0,0,0,6,19,29
De Coquimbo, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,0,6,15,37
De Coquimbo, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,32,0,0,0,0,0,0,0
De Coquimbo, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,14,1,0,0,0,0,0,0
De Coquimbo, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,15,3,0,2,1,1,0,0
De Coquimbo, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,11,0,0,0,1,1,0,0
De Coquimbo, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,8,0,0,1,10,12,21,32
De Coquimbo, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,8,1,0,1,1,7,10,64
De Coquimbo, V00-Y98, Causas externas de mortalidad,Hombre,0,1,1,10,111,47,32,24
De Coquimbo, V00-Y98, Causas externas de mortalidad,Mujer,1,3,1,7,21,14,8,37
De Coquimbo,,Resto de causas,Hombre,0,0,0,1,1,3,4,11
De Coquimbo,,Resto de causas,Mujer,1,1,0,1,7,5,9,20
De Valparaíso, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,2,0,1,0,20,32,40,27
De Valparaíso, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,2,0,0,1,8,17,29,51
De Valparaíso, C00-D48, Tumores (neoplasias),Hombre,1,1,2,10,50,341,688,426
De Valparaíso, C00-D48, Tumores (neoplasias),Mujer,0,0,5,7,58,363,515,498
De Valparaíso, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,1,0,0,10,72,109,75
De Valparaíso, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,0,0,0,0,7,46,119,138
De Valparaíso, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,0,5,31,59
De Valparaíso, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,0,3,20,154
De Valparaíso, G00-G99, Enfermedades del sistema nervioso,Hombre,2,4,0,5,20,24,45,71
De Valparaíso, G00-G99, Enfermedades del sistema nervioso,Mujer,2,1,4,4,6,18,65,141
De Valparaíso, I00-I99, Enfermedades del sistema circulatorio,Hombre,3,1,0,3,40,347,736,670
De Valparaíso, I00-I99, Enfermedades del sistema circulatorio,Mujer,1,0,0,0,24,148,488,1112
De Valparaíso, J00-J99, Enfermedades del sistema respiratorio,Hombre,3,0,0,2,21,48,205,309
De Valparaíso, J00-J99, Enfermedades del sistema respiratorio,Mujer,1,0,0,2,5,33,120,393
De Valparaíso, K00-K93, Enfermedades del sistema digestivo,Hombre,0,0,0,4,29,136,173,97
De Valparaíso, K00-K93, Enfermedades del sistema digestivo,Mujer,1,0,0,1,7,68,137,178
De Valparaíso, N00-N99, Enfermedades del sistema genitourinario,Hombre,0,1,0,0,4,17,43,90
De Valparaíso, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,4,19,59,162
De Valparaíso, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,48,0,0,0,0,0,0,0
De Valparaíso, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,32,0,0,0,0,0,0,0
De Valparaíso, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,34,4,1,4,7,4,0,0
De Valparaíso, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,31,3,1,0,4,4,0,0
De Valparaíso, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,6,4,1,1,10,15,26,46
De Valparaíso, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,5,2,0,1,4,6,22,99
De Valparaíso, V00-Y98, Causas externas de mortalidad,Hombre,2,2,1,28,165,173,77,40
De Valparaíso, V00-Y98, Causas externas de mortalidad,Mujer,2,6,0,9,38,33,33,80
De Valparaíso,,Resto de causas,Hombre,1,0,1,0,3,18,16,15
De Valparaíso,,Resto de causas,Mujer,0,1,1,1,10,14,33,48
Metropolitana de Santiago, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,5,4,1,1,115,133,110,91
Metropolitana de Santiago, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,5,2,1,4,40,59,92,136
Metropolitana de Santiago, C00-D48, Tumores (neoplasias),Hombre,3,10,13,32,174,1212,2143,1257
Metropolitana de Santiago, C00-D48, Tumores (neoplasias),Mujer,6,7,10,14,236,1240,1809,1406
Metropolitana de Santiago, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,2,1,0,2,34,219,398,295
Metropolitana de Santiago, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,3,1,0,3,23,176,361,467
Metropolitana de Santiago, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,1,5,44,105,275
Metropolitana de Santiago, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,3,4,8,93,703
Metropolitana de Santiago, G00-G99, Enfermedades del sistema nervioso,Hombre,3,6,6,15,57,95,160,275
Metropolitana de Santiago, G00-G99, Enfermedades del sistema nervioso,Mujer,2,7,9,16,30,70,199,556
Metropolitana de Santiago, I00-I99, Enfermedades del sistema circulatorio,Hombre,3,2,2,13,162,1092,1837,1849
Metropolitana de Santiago, I00-I99, Enfermedades del sistema circulatorio,Mujer,2,3,3,5,102,502,1326,3435
Metropolitana de Santiago, J00-J99, Enfermedades del sistema respiratorio,Hombre,13,3,0,2,49,234,578,910
Metropolitana de Santiago, J00-J99, Enfermedades del sistema respiratorio,Mujer,3,0,2,3,18,137,523,1373
Metropolitana de Santiago, K00-K93, Enfermedades del sistema digestivo,Hombre,2,0,0,2,121,704,586,265
Metropolitana de Santiago, K00-K93, Enfermedades del sistema digestivo,Mujer,1,1,2,4,45,260,385,415
Metropolitana de Santiago, N00-N99, Enfermedades del sistema genitourinario,Hombre,0,1,0,1,3,51,148,169
Metropolitana de Santiago, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,3,57,132,284
Metropolitana de Santiago, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,171,1,0,0,0,0,0,0
Metropolitana de Santiago, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,119,0,0,0,0,0,0,0
Metropolitana de Santiago, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,140,10,2,8,14,9,7,1
Metropolitana de Santiago, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,151,15,3,6,8,13,1,0
Metropolitana de Santiago, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,22,4,0,4,24,71,47,114
Metropolitana de Santiago, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,23,1,0,5,15,42,40,239
Metropolitana de Santiago, V00-Y98, Causas externas de mortalidad,Hombre,9,23,12,111,864,536,240,160
Metropolitana de Santiago, V00-Y98, Causas externas de mortalidad,Mujer,6,11,5,32,141,121,104,222
Metropolitana de Santiago,,Resto de causas,Hombre,1,2,1,3,13,20,50,51
Metropolitana de Santiago,,Resto de causas,Mujer,3,1,0,4,39,51,70,119
Del Libertador B. O'Higgins, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,0,12,29,19,14
Del Libertador B. O'Higgins, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,0,1,0,0,6,5,13,9
Del Libertador B. O'Higgins, C00-D48, Tumores (neoplasias),Hombre,0,0,0,6,26,153,281,182
Del Libertador B. O'Higgins, C00-D48, Tumores (neoplasias),Mujer,0,0,0,1,40,179,226,134
Del Libertador B. O'Higgins, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,2,1,0,0,11,23,66,35
Del Libertador B. O'Higgins, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,1,0,0,2,4,26,42,54
Del Libertador B. O'Higgins, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,2,7,11,27
Del Libertador B. O'Higgins, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,1,2,11,59
Del Libertador B. O'Higgins, G00-G99, Enfermedades del sistema nervioso,Hombre,1,1,1,4,10,10,20,28
Del Libertador B. O'Higgins, G00-G99, Enfermedades del sistema nervioso,Mujer,1,2,1,2,10,5,34,46
Del Libertador B. O'Higgins, I00-I99, Enfermedades del sistema circulatorio,Hombre,0,0,1,3,33,161,319,254
Del Libertador B. O'Higgins, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,0,2,13,81,192,354
Del Libertador B. O'Higgins, J00-J99, Enfermedades del sistema respiratorio,Hombre,1,0,0,0,8,44,88,147
Del Libertador B. O'Higgins, J00-J99, Enfermedades del sistema respiratorio,Mujer,0,0,0,0,1,22,77,229
Del Libertador B. O'Higgins, K00-K93, Enfermedades del sistema digestivo,Hombre,1,0,0,1,23,93,98,45
Del Libertador B. O'Higgins, K00-K93, Enfermedades del sistema digestivo,Mujer,0,0,0,0,6,41,42,42
Del Libertador B. O'Higgins, N00-N99, Enfermedades del sistema genitourinario,Hombre,0,0,0,0,1,15,25,33
Del Libertador B. O'Higgins, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,1,0,10,19,43
Del Libertador B. O'Higgins, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,22,0,0,0,0,0,0,0
Del Libertador B. O'Higgins, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,22,0,0,0,0,0,0,0
Del Libertador B. O'Higgins, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,19,2,0,1,2,0,0,0
Del Libertador B. O'Higgins, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,18,0,0,0,2,3,1,0
Del Libertador B. O'Higgins, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,2,0,0,1,14,15,24,45
Del Libertador B. O'Higgins, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,2,0,0,2,1,5,10,64
Del Libertador B. O'Higgins, V00-Y98, Causas externas de mortalidad,Hombre,1,3,0,32,146,99,52,18
Del Libertador B. O'Higgins, V00-Y98, Causas externas de mortalidad,Mujer,0,3,2,6,37,15,11,28
Del Libertador B. O'Higgins,,Resto de causas,Hombre,1,1,0,0,2,6,12,14
Del Libertador B. O'Higgins,,Resto de causas,Mujer,0,1,0,1,4,5,17,21
Del Maule, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,0,0,0,1,14,23,11,14
Del Maule, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,0,0,0,0,4,7,17,16
Del Maule, C00-D48, Tumores (neoplasias),Hombre,0,0,1,6,28,198,381,235
Del Maule, C00-D48, Tumores (neoplasias),Mujer,0,1,0,4,45,199,284,207
Del Maule, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Hombre,0,0,0,0,4,34,67,36
Del Maule, E00-E90," Enfermedades endocrinas, nutricionales y metabólicas",Mujer,0,0,0,1,5,41,71,55
Del Maule, F00-F90, Trastornos mentales y del comportamiento,Hombre,0,0,0,0,1,12,16,26
Del Maule, F00-F90, Trastornos mentales y del comportamiento,Mujer,0,0,0,0,1,1,12,60
Del Maule, G00-G99, Enfermedades del sistema nervioso,Hombre,0,1,1,0,10,10,26,41
Del Maule, G00-G99, Enfermedades del sistema nervioso,Mujer,0,0,1,4,6,7,27,56
Del Maule, I00-I99, Enfermedades del sistema circulatorio,Hombre,0,0,0,2,26,194,368,378
Del Maule, I00-I99, Enfermedades del sistema circulatorio,Mujer,0,0,0,1,15,88,257,478
Del Maule, J00-J99, Enfermedades del sistema respiratorio,Hombre,2,0,0,1,6,33,114,229
Del Maule, J00-J99, Enfermedades del sistema respiratorio,Mujer,2,0,0,0,2,14,89,250
Del Maule, K00-K93, Enfermedades del sistema digestivo,Hombre,1,1,1,1,22,103,96,46
Del Maule, K00-K93, Enfermedades del sistema digestivo,Mujer,0,0,0,1,6,38,72,50
Del Maule, N00-N99, Enfermedades del sistema genitourinario,Hombre,1,0,0,0,1,10,28,38
Del Maule, N00-N99, Enfermedades del sistema genitourinario,Mujer,0,0,0,0,1,9,27,57
Del Maule, P00-P96, Ciertas afecciones originadas en el período perinatal,Hombre,21,0,0,0,0,0,0,0
Del Maule, P00-P96, Ciertas afecciones originadas en el período perinatal,Mujer,19,0,0,1,0,0,0,0
Del Maule, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Hombre,15,1,0,1,4,4,0,0
Del Maule, Q00-Q99," Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujer,21,1,1,0,5,3,0,0
Del Maule, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Hombre,3,0,0,0,4,6,13,18
Del Maule, R00-R99," Síntomas, signos y hallazgos anormales clínicos y de laboratorio no clasificados en otra parte",Mujer,0,0,0,2,1,3,5,42
Del Maule, V00-Y98, Causas externas de mortalidad,Hombre,1,7,5,29,144,156,81,29
Del Maule, V00-Y98, Causas externas de mortalidad,Mujer,1,3,1,11,30,22,15,29
Del Maule,,Resto de causas,Hombre,0,0,1,0,0,4,16,16
Del Maule,,Resto de causas,Mujer,0,1,0,2,7,10,11,19
Del Bíobío, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Hombre,4,0,0,0,37,61,49,29
Del Bíobío, A00-B99, Ciertas enfermedades infecciosas y parasitarias,Mujer,1,0,0,0,3,12,47,48
